time;close;Volume;Ticker: ECONOMICS:EUINTR
03/01/2005;2;NaN;
01/02/2005;2;NaN;
01/03/2005;2;NaN;
01/04/2005;2;NaN;
02/05/2005;2;NaN;
01/06/2005;2;NaN;
01/07/2005;2;NaN;
01/08/2005;2;NaN;
01/09/2005;2;NaN;
03/10/2005;2;NaN;
01/11/2005;2;NaN;
01/12/2005;2.25;NaN;
02/01/2006;2.25;NaN;
01/02/2006;2.25;NaN;
01/03/2006;2.25;NaN;
02/03/2006;2.5;NaN;
03/04/2006;2.5;NaN;
02/05/2006;2.5;NaN;
01/06/2006;2.5;NaN;
08/06/2006;2.75;NaN;
03/07/2006;2.75;NaN;
01/08/2006;2.75;NaN;
03/08/2006;3;NaN;
01/09/2006;3;NaN;
02/10/2006;3;NaN;
05/10/2006;3.25;NaN;
01/11/2006;3.25;NaN;
01/12/2006;3.25;NaN;
07/12/2006;3.5;NaN;
02/01/2007;3.5;NaN;
01/02/2007;3.5;NaN;
01/03/2007;3.5;NaN;
08/03/2007;3.75;NaN;
02/04/2007;3.75;NaN;
02/05/2007;3.75;NaN;
01/06/2007;3.75;NaN;
06/06/2007;4;NaN;
02/07/2007;4;NaN;
01/08/2007;4;NaN;
03/09/2007;4;NaN;
01/10/2007;4;NaN;
01/11/2007;4;NaN;
03/12/2007;4;NaN;
02/01/2008;4;NaN;
01/02/2008;4;NaN;
03/03/2008;4;NaN;
01/04/2008;4;NaN;
02/05/2008;4;NaN;
02/06/2008;4;NaN;
01/07/2008;4;NaN;
03/07/2008;4.25;NaN;
01/08/2008;4.25;NaN;
01/09/2008;4.25;NaN;
01/10/2008;4.25;NaN;
08/10/2008;3.75;NaN;
03/11/2008;3.75;NaN;
06/11/2008;3.25;NaN;
01/12/2008;3.25;NaN;
04/12/2008;2.5;NaN;
02/01/2009;2.5;NaN;
15/01/2009;2;NaN;
02/02/2009;2;NaN;
02/03/2009;2;NaN;
05/03/2009;1.5;NaN;
01/04/2009;1.5;NaN;
02/04/2009;1.25;NaN;
04/05/2009;1.25;NaN;
07/05/2009;1;NaN;
01/06/2009;1;NaN;
01/07/2009;1;NaN;
03/08/2009;1;NaN;
01/09/2009;1;NaN;
01/10/2009;1;NaN;
02/11/2009;1;NaN;
01/12/2009;1;NaN;
04/01/2010;1;NaN;
01/02/2010;1;NaN;
01/03/2010;1;NaN;
01/04/2010;1;NaN;
03/05/2010;1;NaN;
01/06/2010;1;NaN;
01/07/2010;1;NaN;
02/08/2010;1;NaN;
30/09/2010;1;NaN;
30/10/2010;1;NaN;
04/11/2010;1;NaN;
02/12/2010;1;NaN;
13/01/2011;1;NaN;
03/02/2011;1;NaN;
09/02/2011;1;NaN;
03/03/2011;1;NaN;
07/04/2011;1.25;NaN;
05/05/2011;1.25;NaN;
09/06/2011;1.25;NaN;
07/07/2011;1.5;NaN;
04/08/2011;1.5;NaN;
08/09/2011;1.5;NaN;
06/10/2011;1.5;NaN;
03/11/2011;1.25;NaN;
08/12/2011;1;NaN;
12/01/2012;1;NaN;
29/02/2012;1;NaN;
08/03/2012;1;NaN;
04/04/2012;1;NaN;
03/05/2012;1;NaN;
06/06/2012;1;NaN;
05/07/2012;0.75;NaN;
02/08/2012;0.75;NaN;
06/09/2012;0.75;NaN;
04/10/2012;0.75;NaN;
08/11/2012;0.75;NaN;
06/12/2012;0.75;NaN;
10/01/2013;0.75;NaN;
07/02/2013;0.75;NaN;
07/03/2013;0.75;NaN;
04/04/2013;0.75;NaN;
02/05/2013;0.5;NaN;
06/06/2013;0.5;NaN;
04/07/2013;0.5;NaN;
01/08/2013;0.5;NaN;
05/09/2013;0.5;NaN;
02/10/2013;0.5;NaN;
07/11/2013;0.25;NaN;
05/12/2013;0.25;NaN;
09/01/2014;0.25;NaN;
06/02/2014;0.25;NaN;
06/03/2014;0.25;NaN;
03/04/2014;0.25;NaN;
08/05/2014;0.25;NaN;
05/06/2014;0.15;NaN;
03/07/2014;0.15;NaN;
07/08/2014;0.15;NaN;
04/09/2014;0.05;NaN;
02/10/2014;0.05;NaN;
06/11/2014;0.05;NaN;
04/12/2014;0.05;NaN;
22/01/2015;0.05;NaN;
28/02/2015;0.05;NaN;
05/03/2015;0.05;NaN;
15/04/2015;0.05;NaN;
31/05/2015;0.05;NaN;
03/06/2015;0.05;NaN;
16/07/2015;0.05;NaN;
31/08/2015;0.05;NaN;
03/09/2015;0.05;NaN;
22/10/2015;0.05;NaN;
30/11/2015;0.05;NaN;
03/12/2015;0.05;NaN;
22/01/2016;0.05;NaN;
29/02/2016;0.05;NaN;
10/03/2016;0;NaN;
21/04/2016;0;NaN;
31/05/2016;0;NaN;
02/06/2016;0;NaN;
21/07/2016;0;NaN;
31/08/2016;0;NaN;
08/09/2016;0;NaN;
20/10/2016;0;NaN;
30/11/2016;0;NaN;
08/12/2016;0;NaN;
19/01/2017;0;NaN;
28/02/2017;0;NaN;
09/03/2017;0;NaN;
27/04/2017;0;NaN;
31/05/2017;0;NaN;
08/06/2017;0;NaN;
20/07/2017;0;NaN;
31/08/2017;0;NaN;
07/09/2017;0;NaN;
26/10/2017;0;NaN;
30/11/2017;0;NaN;
14/12/2017;0;NaN;
25/01/2018;0;NaN;
28/02/2018;0;NaN;
08/03/2018;0;NaN;
26/04/2018;0;NaN;
31/05/2018;0;NaN;
14/06/2018;0;NaN;
26/07/2018;0;NaN;
31/08/2018;0;NaN;
13/09/2018;0;NaN;
25/10/2018;0;NaN;
30/11/2018;0;NaN;
13/12/2018;0;NaN;
24/01/2019;0;NaN;
28/02/2019;0;NaN;
07/03/2019;0;NaN;
10/04/2019;0;NaN;
31/05/2019;0;NaN;
06/06/2019;0;NaN;
25/07/2019;0;NaN;
31/08/2019;0;NaN;
12/09/2019;0;NaN;
24/10/2019;0;NaN;
30/11/2019;0;NaN;
12/12/2019;0;NaN;
23/01/2020;0;NaN;
29/02/2020;0;NaN;
12/03/2020;0;NaN;
30/04/2020;0;NaN;
31/05/2020;0;NaN;
04/06/2020;0;NaN;
16/07/2020;0;NaN;
31/08/2020;0;NaN;
10/09/2020;0;NaN;
29/10/2020;0;NaN;
30/11/2020;0;NaN;
10/12/2020;0;NaN;
21/01/2021;0;NaN;
28/02/2021;0;NaN;
11/03/2021;0;NaN;
22/04/2021;0;NaN;
31/05/2021;0;NaN;
10/06/2021;0;NaN;
22/07/2021;0;NaN;
31/08/2021;0;NaN;
09/09/2021;0;NaN;
28/10/2021;0;NaN;
30/11/2021;0;NaN;
16/12/2021;0;NaN;
31/01/2022;0;NaN;
03/02/2022;0;NaN;
10/03/2022;0;NaN;
14/04/2022;0;NaN;
31/05/2022;0;NaN;
09/06/2022;0;NaN;
21/07/2022;0.5;NaN;
31/08/2022;0.5;NaN;
08/09/2022;1.25;NaN;
27/10/2022;2;NaN;
30/11/2022;2;NaN;
15/12/2022;2.5;NaN;
31/01/2023;2.5;NaN;
02/02/2023;3;NaN;
16/03/2023;3.5;NaN;
30/04/2023;3.5;NaN;
10/05/2023;3.75;NaN;
15/06/2023;4;NaN;
27/07/2023;4.25;NaN;
31/08/2023;4.25;NaN;
14/09/2023;4.5;NaN;
26/10/2023;4.5;NaN;
30/11/2023;4.5;NaN;
14/12/2023;4.5;NaN;
25/01/2024;4.5;NaN;
29/02/2024;4.5;NaN;
31/03/2024;4.5;NaN;
11/04/2024;4.5;NaN;
31/05/2024;4.5;NaN;
06/06/2024;4.25;NaN;
18/07/2024;4.25;NaN;
31/08/2024;4.25;NaN;
12/09/2024;3.65;NaN;
17/10/2024;3.4;NaN;
30/11/2024;3.4;NaN;
12/12/2024;3.15;NaN;
30/01/2025;2.9;NaN;
28/02/2025;2.9;NaN;
06/03/2025;2.65;NaN;
